class	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10
0	16227	13054	16300	13017	16286	12929	16117	12904	16105	13024										
0	15830	12909																		
1	19043	11043	18991	11038	19064	10836	19090	10836	19150	10962	19140	10990								
2	3192	25440	3334	25444	3336	25402														
3	18466	15892	18525	15717	18558	15768														
4	16547	15653	16578	15756	16855	15544	16875	15575												
5	23764	17700	23910	17662	23910	17605	23859													
5	23577	17644	23598	17574	23622	17640														
6	23292	17634	23338	17316																
6	22731	17497	22686	17595																
7	18338	19634	18228	19747	18360	19852	18500	19646												
8	17541	18823	17562	18833	17562	18874	17376	18851	17466	18947	17517	18948								
9	14470	7389	14230	7669	13863	7756	13917	7635												
5	13987	11596	13719	11385	13782	11305	13752	11265	13993	11176										
10	14215	6747	14167	6720	14196	6622	14758	6781	14784	6735										
11	12387	8772	12367	8674	12148	8589	12154	8245	12190	8245										
11	18922	8097	18999	8388	18855	8286														
11	18924	11270	18974	11139	18941	11126	19044	10866												
11	18802	11062	18874	11000	18842	11063														
12	14163	19749	14155	19802	14001	19928	13994	20038	14018	20087	13998	20115								
13	14313	13177	14326	13206	14352	13238	14468	13301	14504	13498										
14	19503	23132	19523	23172	19428	23213	19418	23188												
14	19177	23847	19252	23913																
15	24556	13638	24669	13753	24691	13851	24754	13830												
16	25645	26198	25876	26120	25946	26247														
17	18772	6985	18908	7010	18851	7031														
18	17689	10595	17610	10563	17550	10737														
